2024-08-10 17:08:17,789: Key.shift
2024-08-10 17:08:17,970: H
2024-08-10 17:08:18,257: e
2024-08-10 17:08:18,493: y
2024-08-10 17:08:18,595:  
2024-08-10 17:08:19,695: i
2024-08-10 17:08:20,041: t
2024-08-10 17:08:20,632:  
2024-08-10 17:08:20,864: i
2024-08-10 17:08:21,072: s
2024-08-10 17:08:21,248:  
2024-08-10 17:08:21,468: a
2024-08-10 17:08:21,642: n
2024-08-10 17:08:21,739:  
2024-08-10 17:08:23,009:  
2024-08-10 17:08:23,196: Key.shift
2024-08-10 17:08:23,382: P
2024-08-10 17:08:23,695: h
2024-08-10 17:08:23,890: i
2024-08-10 17:08:25,086: s
2024-08-10 17:08:25,317: h
2024-08-10 17:08:25,594: i
2024-08-10 17:08:25,753: n
2024-08-10 17:08:26,145: g
2024-08-10 17:08:26,338:  
2024-08-10 17:08:27,513: Key.shift
2024-08-10 17:08:27,721: A
2024-08-10 17:08:28,152: t
2024-08-10 17:08:28,294: t
2024-08-10 17:08:28,700: a
2024-08-10 17:08:28,913: c
2024-08-10 17:08:29,174: k
2024-08-10 17:08:31,142: Key.shift
2024-08-10 17:08:31,529: !
2024-08-10 17:08:31,716: !
2024-08-10 17:08:32,555: .
2024-08-10 17:08:32,680: .
2024-08-10 17:08:32,826: .
2024-08-10 17:08:34,153: Key.esc
